collectedEggs	startDate	sampleDate	age	id	larvalTreat	adultTreat	deadFemale	deadMale	censored	camera_id	numEggs	remark
2/9/2018	2/20/2018	4/13/2018	52	EE_C_C2	C	C	4	0	0	9875	24	
2/8/2018	2/20/2018	4/16/2018	55	EE_DR_DR1	DR	DR	5	2	0	9888	7	
2/8/2018	2/20/2018	4/16/2018	55	EE_DR_C1	DR	C	2	1	1	9883	19	
2/8/2018	2/20/2018	4/16/2018	55	EE_C_C1	C	C	11	14	2	9886	7	
2/8/2018	2/20/2018	4/16/2018	55	EE_C_DR1	C	DR	2	3	0	9887	22	
2/9/2018	2/20/2018	4/16/2018	55	EE_DR_DR2	DR	DR	4	2	9	9834	33	
2/9/2018	2/20/2018	4/16/2018	55	EE_DR_C2	DR	C	6	2	4	9835	15	
2/9/2018	2/20/2018	4/16/2018	55	EE_C_DR2	C	DR	9	3	3	9889	18	
2/9/2018	2/20/2018	4/16/2018	55	EE_C_C2	C	C	5	2	1	9882	35	
2/8/2018	2/20/2018	4/18/2018	57	EE_DR_DR1	DR	DR	3	0	0	9894	0	
2/8/2018	2/20/2018	4/18/2018	57	EE_DR_C1	DR	C	1	0	5	9895	16	
2/8/2018	2/20/2018	4/18/2018	57	EE_C_C1	C	C	1	1	0	9891	10	
2/8/2018	2/20/2018	4/18/2018	57	EE_C_DR1	C	DR	3	2	0	9892	5	
2/9/2018	2/20/2018	4/18/2018	57	EE_DR_DR2	DR	DR	5	6	0	9896	20	
2/9/2018	2/20/2018	4/18/2018	57	EE_DR_C2	DR	C	4	3	11	9897	14	
2/9/2018	2/20/2018	4/18/2018	57	EE_C_DR2	C	DR	3	2	0	9890	7	
2/9/2018	2/20/2018	4/18/2018	57	EE_C_C2	C	C	2	2	3	9893	7	
2/8/2018	2/20/2018	4/20/2018	59	EE_DR_DR1	DR	DR	5	3	0	9899	19	
2/8/2018	2/20/2018	4/20/2018	59	EE_DR_C1	DR	C	2	0	1	9902	8	
2/8/2018	2/20/2018	4/20/2018	59	EE_C_C1	C	C	6	1	0	9904	5	
2/8/2018	2/20/2018	4/20/2018	59	EE_C_DR1	C	DR	1	0	0	9898	4	
2/9/2018	2/20/2018	4/20/2018	59	EE_DR_DR2	DR	DR	3	3	0	9901	6	
2/9/2018	2/20/2018	4/20/2018	59	EE_DR_C2	DR	C	4	2	2	9905	10	
2/9/2018	2/20/2018	4/20/2018	59	EE_C_DR2	C	DR	8	3	0	9900	6	
2/9/2018	2/20/2018	4/20/2018	59	EE_C_C2	C	C	1	4	1	9903	11	
2/8/2018	2/20/2018	4/23/2018	62	EE_DR_DR1	DR	DR	5	3	3	9908	19	
2/8/2018	2/20/2018	4/23/2018	62	EE_DR_C1	DR	C	2	4	3	9910	15	
2/8/2018	2/20/2018	4/23/2018	62	EE_C_C1	C	C	2	2	0	9912	6	
2/8/2018	2/20/2018	4/23/2018	62	EE_C_DR1	C	DR	3	3	1	9911	14	
2/9/2018	2/20/2018	4/23/2018	62	EE_DR_DR2	DR	DR	7	5	3	9913	8	
2/9/2018	2/20/2018	4/23/2018	62	EE_DR_C2	DR	C	4	2	2	9906	11	
2/9/2018	2/20/2018	4/23/2018	62	EE_C_DR2	C	DR	9	4	0	9909	4	
2/9/2018	2/20/2018	4/23/2018	62	EE_C_C2	C	C	3	1	6	9907	7	
2/8/2018	2/20/2018	4/25/2018	64	EE_DR_DR1	DR	DR	0	1	1	9916	19	
2/8/2018	2/20/2018	4/25/2018	64	EE_DR_C1	DR	C	2	1	0	9917	22	
2/8/2018	2/20/2018	4/25/2018	64	EE_C_C1	C	C	0	0	0	9921	14	
2/8/2018	2/20/2018	4/25/2018	64	EE_C_DR1	C	DR	0	1	2	9918	4	
